"","ssvid","best_flag","best_vessel_class","vessel_name"
"462","412420341","CHN","squid_jigger","HUAYING1"
"463","412420341","CHN","squid_jigger",NA
"464","150402947",NA,"squid_jigger","LURONGYUANYU717"
"465","150402947",NA,"squid_jigger","LURONGYUANYU195"
"466","150402947",NA,"squid_jigger","SHUNHANG3"
"467","150402947",NA,"squid_jigger","LURONGYUANYU715"
"468","150402947",NA,"squid_jigger","SHUNHANG68"
"469","412440659","CHN","squid_jigger","FUYUANYU7870"
"470","412440659","CHN","squid_jigger","FUYANYU7870"
"471","412331286","CHN","squid_jigger","LURONGYUANYU885"
"472","412331286","CHN","fishing","LURONGYUANYU885"
"473","412679820","CHN","squid_jigger","LIAOYU2HAO"
"474","412679820","CHN","squid_jigger","LIAOYUERHAO"
"475","412440738","CHN","squid_jigger","FUYUANYU7615"
"476","412440778","CHN","fishing","ZHONGGUOYUZHENG35466"
"477","412440778","CHN","squid_jigger","FUYUANYU7629"
"478","412420312","CHN","squid_jigger",NA
"479","412420312","CHN","squid_jigger","JIADE1"
"480","725003591","CHL","non_fishing","LENGA"
"481","412333345","CHN","squid_jigger","LURONGYUANYU709"
"482","412333345","CHN","squid_jigger","RUNDASHUICHAN"
"483","412333345","CHN","squid_jigger","HUAZHONGYOU5"
"484","412549276","CHN","fishing","LURONGYUANYU832"
"485","412328785","CHN","squid_jigger","WEIYU18"
"486","412439575","CHN","squid_jigger","HAIZHIXING801"
"487","412439575","CHN","squid_jigger",NA
"488","412439575","CHN","squid_jigger","MINGXIANG899"
"489","412420002","CHN","squid_jigger","TIANXIANG"
"490","412420002","CHN","squid_jigger",NA
"491","412420002","CHN","squid_jigger","ZHEYANYU2"
"492","412420002","CHN","fishing",NA
"493","412336489","CHN","squid_jigger",NA
"494","412336489","CHN","squid_jigger","LURONGYUANYU585"
"495","412421087","CHN","squid_jigger","JINHAI779"
"496","412421087","CHN","squid_jigger","ZHEXIANGYU21087"
"497","412420013","CHN","squid_jigger","HAILI18"
"498","412549035","CHN","squid_jigger",NA
"499","412549035","CHN","squid_jigger","HENGXIN68"
"500","412326888","CHN","squid_jigger","4698"
"501","412326888","CHN","squid_jigger","CHANGSHUN138"
"502","412326888","CHN","squid_jigger","HAIXING1"
"503","412326888","CHN","squid_jigger",NA
"504","412549046","CHN","squid_jigger","HONGPU9"
"505","412421182","CHN","squid_jigger","TAOYUAN608"
"506","412421182","CHN","squid_jigger",NA
"507","412421014","CHN","squid_jigger","XINJILI56"
"508","412549275","CHN","squid_jigger","LURONGYUANYU831"
"509","412549012","CHN","squid_jigger","NINGTAI15"
"510","412679810","CHN","squid_jigger","LIAOYU1HAO"
"511","412679810","CHN","squid_jigger",NA
"512","412331035","CHN","squid_jigger","LUYANYUANYU7"
"513","412331035","CHN","squid_jigger","LUYANYUANYU8"
"514","412331035","CHN","squid_jigger","LUYANYUANYU6"
"515","412420457","CHN","squid_jigger","HONGDA2"
"516","412420457","CHN","squid_jigger","H0NGDA2"
"517","412440663","CHN","squid_jigger","FUYUANYU7873"
"518","412440663","CHN","squid_jigger",NA
"519","412200335","CHN","squid_jigger","GUOJI901"
